[34, 1.25, 0.75, 7.083e-12, 1.77e-13, 9.7e-14]
[35, 1.25, 1.25, 4.427e-12, 2.05e-13, 1.05e-13]
[36, 1.25, 1.75, 2.724e-12, 2.39e-13, 1.13e-13]
[37, 1.25, 2.25, 1.771e-12, 2.83e-13, 1.22e-13]
[38, 1.25, 2.75, 1.221e-12, 3.41e-13, 1.32e-13]
[39, 1.25, 3.25, 8.85e-13, 4.17e-13, 1.42e-13]
[40, 1.25, 3.75, 6.68e-13, 5.21e-13, 1.52e-13]
[41, 1.25, 4.25, 5.21e-13, 6.68e-13, 1.62e-13]
[42, 1.25, 4.75, 4.17e-13, 8.85e-13, 1.73e-13]
[43, 1.25, 5.25, 3.41e-13, 1.221e-12, 1.83e-13]
[44, 1.25, 5.75, 2.83e-13, 1.771e-12, 1.91e-13]
[45, 1.25, 6.25, 2.39e-13, 2.724e-12, 1.99e-13]
[46, 1.25, 6.75, 2.05e-13, 4.427e-12, 2.05e-13]
[47, 1.25, 7.25, 1.77e-13, 7.083e-12, 2.08e-13]
[48, 1.25, 7.75, 1.55e-13, 8.854e-12, 2.1e-13]
[49, 1.75, 0.25, 3.935e-12, 1.51e-13, 9.6e-14]
[50, 1.75, 0.75, 3.542e-12, 1.73e-13, 1.04e-13]
[51, 1.75, 1.25, 2.724e-12, 1.99e-13, 1.13e-13]
[52, 1.75, 1.75, 1.968e-12, 2.31e-13, 1.23e-13]
[53, 1.75, 2.25, 1.417e-12, 2.72e-13, 1.34e-13]
[54, 1.75, 2.75, 1.042e-12, 3.25e-13, 1.45e-13]
[55, 1.75, 3.25, 7.87e-13, 3.94e-13, 1.57e-13]
[56, 1.75, 3.75, 6.11e-13, 4.85e-13, 1.7e-13]
[57, 1.75, 4.25, 4.85e-13, 6.11e-13, 1.84e-13]
[58, 1.75, 4.75, 3.94e-13, 7.87e-13, 1.97e-13]
[59, 1.75, 5.25, 3.25e-13, 1.042e-12, 2.1e-13]
[60, 1.75, 5.75, 2.72e-13, 1.417e-12, 2.21e-13]
[61, 1.75, 6.25, 2.31e-13, 1.968e-12, 2.31e-13]
[62, 1.75, 6.75, 1.99e-13, 2.724e-12, 2.39e-13]
[63, 1.75, 7.25, 1.73e-13, 3.542e-12, 2.44e-13]
[64, 1.75, 7.75, 1.51e-13, 3.935e-12, 2.46e-13]
[65, 2.25, 0.25, 2.214e-12, 1.47e-13, 1.02e-13]
[66, 2.25, 0.75, 2.083e-12, 1.67e-13, 1.12e-13]
[67, 2.25, 1.25, 1.771e-12, 1.91e-13, 1.22e-13]
[68, 2.25, 1.75, 1.417e-12, 2.21e-13, 1.34e-13]
